Date,Receipt number,Receipt type,Category,SKU,Item,Variant,Modifiers applied,Quantity,Gross sales,Discounts,Net sales,Cost of goods,Gross profit,Taxes,Dining option,POS,Store,Cashier name,Customer name,Customer contacts,Comment,Status
7/4/25 12:18 AM,6-35212,Sale,Smash Burgers,10009,Triple Smash Burger (สาม),,,2.000,580.00,0.00,580.00,256.16,323.84,0.00,TAKEAWAY,Smash Brothers - Rawai (Main POS),Smash Bros Burgers (Rawai),Cashier Night Shift,,,,Closed
7/4/25 12:18 AM,6-35212,Sale,Side Orders,10020,Onion Rings,,,1.000,99.00,0.00,99.00,10.35,88.65,0.00,TAKEAWAY,Smash Brothers - Rawai (Main POS),Smash Bros Burgers (Rawai),Cashier Night Shift,,,,Closed
7/3/25 11:32 PM,6-35211,Sale,Smash Burgers,10019,Super Double Bacon and Cheese (ซูเปอร์ดับเบิ้ลเบคอน),,,1.000,240.00,0.00,240.00,103.83,136.17,0.00,GRAB,Smash Brothers - Rawai (Main POS),Smash Bros Burgers (Rawai),Cashier Night Shift,,,,Closed
7/3/25 11:27 PM,6-35210,Sale,Side Orders,10035,Loaded Fries (Original),,,1.000,170.00,0.00,170.00,41.33,128.67,0.00,GRAB,Smash Brothers - Rawai (Main POS),Smash Bros Burgers (Rawai),Cashier Night Shift,,,,Closed
7/3/25 11:27 PM,6-35210,Sale,Smash Burgers,10068,🐔 Big Rooster Sriracha Chicken ไก่ศรีราชาตัวใหญ่,,,1.000,249.00,0.00,249.00,89.55,159.45,0.00,GRAB,Smash Brothers - Rawai (Main POS),Smash Bros Burgers (Rawai),Cashier Night Shift,,,,Closed
7/3/25 11:27 PM,6-35210,Sale,Drinks,10021,Schweppes Lime,,,1.000,40.00,0.00,40.00,12.70,27.30,0.00,GRAB,Smash Brothers - Rawai (Main POS),Smash Bros Burgers (Rawai),Cashier Night Shift,,,,Closed
7/3/25 10:43 PM,6-35209,Sale,Smash Burgers,10006,Ultimate Double (คู่),,,1.000,220.00,0.00,220.00,93.78,126.22,0.00,TAKEAWAY,Smash Brothers - Rawai (Main POS),Smash Bros Burgers (Rawai),Cashier Night Shift,,,,Closed
7/3/25 10:43 PM,6-35208,Refund,Smash Burgers,10006,Ultimate Double (คู่),,,-1.000,-220.00,0.00,-220.00,-93.78,-126.22,-0.00,TAKEAWAY,Smash Brothers - Rawai (Main POS),Smash Bros Burgers (Rawai),Cashier Night Shift,,,,Closed
7/3/25 10:43 PM,6-35207,Sale,Smash Burgers,10006,Ultimate Double (คู่),,,1.000,220.00,0.00,220.00,93.78,126.22,0.00,TAKEAWAY,Smash Brothers - Rawai (Main POS),Smash Bros Burgers (Rawai),Cashier Night Shift,,,,Closed
7/3/25 10:35 PM,6-35206,Sale,Smash Burgers,10019,Super Double Bacon and Cheese (ซูเปอร์ดับเบิ้ลเบคอน),,,1.000,240.00,0.00,240.00,103.83,136.17,0.00,TAKEAWAY,Smash Brothers - Rawai (Main POS),Smash Bros Burgers (Rawai),Cashier Night Shift,,,,Closed
7/3/25 10:28 PM,6-35205,Sale,Side Orders,10030,French Fries,,,1.000,89.00,0.00,89.00,9.10,79.90,0.00,TAKEAWAY,Smash Brothers - Rawai (Main POS),Smash Bros Burgers (Rawai),Cashier Night Shift,,,,Closed
7/3/25 10:20 PM,6-35204,Sale,Smash Burgers,10066,Crispy Chicken Fillet Burger (เบอร์เกอร์ไก่ชิ้น),,🥓 Crispy Bacon,1.000,209.00,0.00,209.00,83.35,125.65,0.00,EAT IN SHOP,Smash Brothers - Rawai (Main POS),Smash Bros Burgers (Rawai),Cashier Night Shift,,,,Closed
7/3/25 10:20 PM,6-35204,Sale,Side Orders,10030,French Fries,,,1.000,89.00,0.00,89.00,9.10,79.90,0.00,EAT IN SHOP,Smash Brothers - Rawai (Main POS),Smash Bros Burgers (Rawai),Cashier Night Shift,,,,Closed
7/3/25 10:20 PM,6-35204,Sale,Drinks,10026,Sprite,,,1.000,40.00,0.00,40.00,13.16,26.84,0.00,EAT IN SHOP,Smash Brothers - Rawai (Main POS),Smash Bros Burgers (Rawai),Cashier Night Shift,,,,Closed
7/3/25 10:19 PM,6-35203,Sale,Smash Burgers,10019,Super Double Bacon and Cheese (ซูเปอร์ดับเบิ้ลเบคอน),,🐄Animal Style (🛑No Salad 🛑No Tomatos),2.000,480.00,0.00,480.00,207.66,272.34,0.00,GRAB,Smash Brothers - Rawai (Main POS),Smash Bros Burgers (Rawai),Cashier Night Shift,,,,Closed
7/3/25 10:18 PM,6-35202,Sale,Smash Burgers,10066,Crispy Chicken Fillet Burger (เบอร์เกอร์ไก่ชิ้น),,"🥓 Crispy Bacon, 🧀 Double Cheese, ❌ 🥬 NO SALAD (ไม่ใส่สลัด)❌",1.000,249.00,0.00,249.00,83.35,165.65,0.00,EAT IN SHOP,Smash Brothers - Rawai (Main POS),Smash Bros Burgers (Rawai),Cashier Night Shift,,,,Closed
7/3/25 10:18 PM,6-35202,Sale,Side Orders,10030,French Fries,,,1.000,89.00,0.00,89.00,9.10,79.90,0.00,EAT IN SHOP,Smash Brothers - Rawai (Main POS),Smash Bros Burgers (Rawai),Cashier Night Shift,,,,Closed
7/3/25 10:18 PM,6-35202,Sale,Drinks,10026,Sprite,,,1.000,40.00,0.00,40.00,13.16,26.84,0.00,EAT IN SHOP,Smash Brothers - Rawai (Main POS),Smash Bros Burgers (Rawai),Cashier Night Shift,,,,Closed
7/3/25 9:54 PM,6-35201,Sale,Smash Burgers,10019,Super Double Bacon and Cheese (ซูเปอร์ดับเบิ้ลเบคอน),,,1.000,240.00,0.00,240.00,103.83,136.17,0.00,GRAB,Smash Brothers - Rawai (Main POS),Smash Bros Burgers (Rawai),Cashier Night Shift,,,,Closed
7/3/25 9:54 PM,6-35201,Sale,Smash Burgers,10068,🐔 Big Rooster Sriracha Chicken ไก่ศรีราชาตัวใหญ่,,,1.000,249.00,0.00,249.00,89.55,159.45,0.00,GRAB,Smash Brothers - Rawai (Main POS),Smash Bros Burgers (Rawai),Cashier Night Shift,,,,Closed
7/3/25 9:28 PM,6-35200,Sale,Smash Burgers,10004,Single Smash Burger (ซิงเกิ้ล),,,1.000,160.00,0.00,160.00,59.48,100.52,0.00,EAT IN SHOP,Smash Brothers - Rawai (Main POS),Smash Bros Burgers (Rawai),Cashier Night Shift,,,,Closed
7/3/25 9:08 PM,6-35199,Sale,Side Orders,10030,French Fries,,,1.000,89.00,0.00,89.00,9.10,79.90,0.00,EAT IN SHOP,Smash Brothers - Rawai (Main POS),Smash Bros Burgers (Rawai),Cashier Night Shift,,,,Closed
7/3/25 8:53 PM,6-35198,Sale,Smash Burger Sets (Meal Deals),10036,Super Double Bacon & Cheese Set (Meal Deal),,Coke Zero,1.000,319.00,0.00,319.00,126.05,192.95,0.00,GRAB,Smash Brothers - Rawai (Main POS),Smash Bros Burgers (Rawai),Cashier Night Shift,,,,Closed
7/3/25 8:07 PM,6-35197,Sale,Smash Burgers,10009,Triple Smash Burger (สาม),,,1.000,290.00,0.00,290.00,128.08,161.92,0.00,EAT IN SHOP,Smash Brothers - Rawai (Main POS),Smash Bros Burgers (Rawai),Cashier Night Shift,,,,Closed
7/3/25 6:38 PM,6-35196,Sale,Smash Burger Sets (Meal Deals),10036,Super Double Bacon & Cheese Set (Meal Deal),,Coke Zero,4.000,1276.00,255.20,1020.80,504.20,516.60,0.00,EAT IN SHOP,Smash Brothers - Rawai (Main POS),Smash Bros Burgers (Rawai),Cashier Night Shift,,,,Closed
